theme,overall_mean_share,linear_beta,linear_or_per_year,linear_p,quadratic_beta_linear_term,quadratic_beta_sq_term,quadratic_p_linear_term,quadratic_p_sq_term,lr_intercept_vs_linear_stat,lr_intercept_vs_linear_df,lr_intercept_vs_linear_p,lr_linear_vs_quadratic_stat,lr_linear_vs_quadratic_df,lr_linear_vs_quadratic_p,lr_intercept_vs_quadratic_stat,lr_intercept_vs_quadratic_df,lr_intercept_vs_quadratic_p
theme_tolerance_regulation,0.3299086757990868,0.05057373154366334,1.051874416820392,0.03594200372303567,0.03934026960784035,0.013406424701509772,0.11020952626052016,0.10977266940062327,4.444741197002145,1,0.03500889606314874,2.5390440554701854,1,0.11106200920725617,6.98378525247233,2,0.030443200013455057
theme_sensitization_ige,0.7431506849315068,-0.054829487011656124,0.9466465497246426,0.035455526793664746,-0.06312674152016047,0.008480371448744257,0.025082603350215567,0.3635515559079221,4.484017957441438,1,0.03421319742033925,0.8350298320028742,1,0.3608221212879855,5.319047789444312,2,0.0699815323912619
theme_microbiome,0.228310502283105,0.1073300351449586,1.1133016225161791,0.00012580410129008787,0.11509084425029442,-0.0061754370479500465,0.00022724282931205043,0.5368753388847263,15.31337502345616,1,9.106942830083411e-05,0.3852372326665545,1,0.5348135998017998,15.698612256122715,2,0.00039002250005291413
theme_barrier_epithelial,0.1872146118721461,0.022383934295957128,1.022636334269969,0.43851528389397587,0.0170491906515048,0.0064850147460296485,0.5641323681864485,0.519216108771694,0.6030402991095798,1,0.4374203598239017,0.4123371189127738,1,0.5207856534113773,1.0153774180223536,2,0.6018851040123618
